Open,High,Low,Close,Volume,Date
24.4689,24.4689,24.3472,24.4516,1003200,1993-01-28
24.4689,24.6255,24.4689,24.6255,480500,1993-01-31
24.6081,24.695,24.5559,24.6776,201300,1993-02-01
24.7124,24.9559,24.695,24.9385,529400,1993-02-02
25.0254,25.03415,25.03415,25.0429,531500,1993-02-03
25.0254,25.0254,25.0254,25.0254,492100,1993-02-04
25.0254,25.0254,25.0254,25.0254,596100,1993-02-07
24.9385,24.9385,24.7994,24.8515,122100,1993-02-08
24.8515,24.9037,24.782,24.8863,379600,1993-02-09
24.9211,25.1124,24.9211,25.0081,19500,1993-02-10
24.9733,24.9733,24.8167,24.8167,42500,1993-02-11
24.7472,24.7472,24.1559,24.1907,374800,1993-02-15
24.1907,24.2255,24.0863,24.1733,210900,1993-02-16
24.4516,24.4516,23.8255,24.1559,378100,1993-02-17
24.1559,24.2429,24.1211,24.2429,34900,1993-02-18
24.3124,24.3646,24.2429,24.3298,513600,1993-02-21
24.3994,24.4168,24.1907,24.3124,373700,1993-02-22
24.3298,24.6255,24.3298,24.6255,26300,1993-02-23
24.6081,24.695,24.5559,24.6776,44500,1993-02-24
24.7298,24.7298,24.5907,24.7124,66200,1993-02-25
24.7994,24.7994,24.6081,24.6428,66500,1993-02-28
24.6603,25.0081,24.6255,25.0081,182400,1993-03-01
25.0429,25.1298,25.0081,25.1124,280100,1993-03-02
25.1472,25.1472,24.9733,24.9733,89500,1993-03-03
25.0081,25.1124,24.8863,24.9037,40000,1993-03-04
24.9559,25.4602,24.9559,25.4602,50800,1993-03-07
25.408,25.4255,25.3211,25.3733,169300,1993-03-08
25.3733,25.4255,25.2689,25.4255,194400,1993-03-09
25.4428,25.5124,25.3211,25.3559,70900,1993-03-10
25.1472,25.1646,24.9385,25.095,643600,1993-03-11
25.0776,25.2168,25.0776,25.2168,310800,1993-03-14
25.2168,25.2168,25.2168,25.2168,30800,1993-03-15
25.182,25.182,25.0254,25.0602,21800,1993-03-16
25.1646,25.3211,25.1646,25.2168,59300,1993-03-17
25.3185,25.3185,25.1788,25.1788,66900,1993-03-18
24.9341,25.0914,24.9167,25.039,183400,1993-03-21
25.1089,25.1264,25.0565,25.0914,55200,1993-03-22
25.0565,25.1963,24.9341,25.0914,37200,1993-03-23
25.1089,25.3011,25.0739,25.2486,110100,1993-03-24
25.2312,25.2486,25.0914,25.1089,101500,1993-03-25
25.1264,25.336,25.1264,25.2137,87100,1993-03-28
25.2486,25.2836,25.2137,25.2836,56000,1993-03-29
25.3535,25.4234,25.2661,25.2661,111600,1993-03-30
25.3011,25.3011,25.1264,25.1788,129500,1993-03-31
24.9691,24.9691,24.6546,24.6546,59400,1993-04-01
24.8468,24.8468,24.707,24.7769,172200,1993-04-04
24.8293,24.8293,24.6371,24.707,129700,1993-04-05
24.742,24.7943,24.6895,24.7943,28000,1993-04-06
24.8992,24.8992,24.6546,24.7594,180800,1993-04-07
25.004,25.1264,24.9691,25.1089,348500,1993-04-11
25.0914,25.2486,25.0739,25.1613,146100,1993-04-12
25.1788,25.1963,25.1089,25.1264,119600,1993-04-13
25.1089,25.1788,25.0215,25.1264,148600,1993-04-14
25.1438,25.1788,25.0914,25.1264,47900,1993-04-15
25.1264,25.1963,25.004,25.0215,157000,1993-04-18
24.9866,25.0215,24.742,24.8992,279500,1993-04-19
24.9516,24.9516,24.8118,24.8817,67900,1993-04-20
24.7769,24.9866,24.5672,24.5672,97700,1993-04-21
